Sanitation,$163,$263,$1763,,,,,
Climate,$0,$725,$1088,,,,,
TOTAL,$938,$2713,$10325,,,,,
,,,,,,,,
250 GUESTS - TOTAL BY VENUE,,,,,,,,
Category,Resort/Hotel,Winery/Garden,Estate/Remote,,,,,
Power,$100,$1038,$2738,,,,,
Flooring,$925,$1350,$7525,,,,,
Sanitation,$225,$350,$2650,,,,,
Climate,$0,$988,$1475,,,,,
TOTAL,$1250,$3725,$14388,,,,,
,,,,,,,,
400 GUESTS - TOTAL BY VENUE,,,,,,,,
Category,Resort/Hotel,Winery/Garden,Estate/Remote,,,,,
Power,$150,$1250,$3250,,,,,
Flooring,$1100,$1600,$9500,,,,,
Sanitation,$300,$425,$3500,,,,,
Climate,$0,$1100,$2000,,,,,
TOTAL,$1550,$4375,$18250,,,,,
